Наименование услуги;Главное изображение;Длительность;Стоимость;Действующая скидка;Описание;Код
Художественное оформление ресниц;Услуги салона красоты\Ресницы.png;3000;2040;0;Лицо;39
Эстетическая лазерная шлифовка кожи;Услуги салона красоты\piling.jpg;2400;1750;0,25;Процедура;40
Массаж ЖИВА;Услуги салона красоты\массаж.jpg;3300;2330;0,25;Процедура;41
Макияж;Услуги салона красоты\makeup.jpg;1800;2470;0,2;Процедура;42
Время вспять с коллагеном;Услуги салона красоты\96.png;2400;1850;0,1;Процедура;43
Снятие ресниц;Услуги салона красоты\Снятие ресниц.jpg;2700;1680;0,25;Лицо;44
Оформление бровей;Услуги салона красоты\брови.png;2100;2280;0;Лицо;45
Стрижка бороды машинкой;Услуги салона красоты\man.png;2700;1750;0,1;Лицо;46
Маски для лица;Услуги салона красоты\mask.jpeg;1200;2250;0,1;Лицо;47
Татуаж;Услуги салона красоты\брови.png;3600;1330;0,2;Лицо;48
Уход для проблемной и комбинированной кожи;Услуги салона красоты\face.png;3600;2440;0,15;Лицо;49
Прокол ушей пистолетом;Услуги салона красоты\Прокол ушей пистолетом.png;1500;2040;0,05;Процедура;50
Ремонт одного ногтя;Услуги салона красоты\ногти.png;1800;2340;0,25;Руки;51
Полировка с маслом;Услуги салона красоты\piling.jpg;1200;1280;0;Руки;52
Омоложение зоны вокруг глаз;Услуги салона красоты\брови.png;1800;2540;0,15;Лицо;53
Аппаратная косметология;Услуги салона красоты\96.png;3300;1180;0;Процедура;54
Консультация врача-косметолога;Услуги салона красоты\122454.png;3600;2350;0,05;Процедура;55
Визаж;Услуги салона красоты\makeup.jpg;3000;1260;0;Лицо;56
Демакияж;Услуги салона красоты\Демакияж.jpg;1200;1470;0,15;Лицо;57
Коррекция ресниц;Услуги салона красоты\Ресницы.png;1200;2010;0,1;Лицо;58
Детская стрижка;Услуги салона красоты\стрижка.png;2100;2330;0,2;Волосы;59
Мужская стрижка;Услуги салона красоты\man.png;3000;1690;0;Волосы;60
Вечерняя прическа;Услуги салона красоты\стрижка.png;900;2020;0,25;Волосы;61
Наращивание ресниц беличьего эффекта;Услуги салона красоты\Ресницы.png;1800;1010;0;Лицо;62
Мезонити (Тредлифтинг);Услуги салона красоты\96.png;1500;2140;0;Процедура;63
Покрытие ногтей;Услуги салона красоты\ногти.png;2400;2410;0,15;Руки;64
Гавайский массаж Ломи-Ломи;Услуги салона красоты\массаж.jpg;2100;1040;0,15;Тело;65
Парафинотерапия;Услуги салона красоты\Парафинотерапия.jpg;2100;1180;0,05;Процедура;66
Озонотерапия;Услуги салона красоты\face.png;2100;1740;0,2;Процедура;67
Миндальный пилинг;Услуги салона красоты\piling.jpg;2700;2430;0,15;Процедура;68
Покрытие ногтей гель-лаком;Услуги салона красоты\Покрытие ногтей гель-лаком.jpg;900;2100;0,2;Руки;69
Декорирование ресниц стразами;Услуги салона красоты\Ресницы.png;3000;1920;0,15;Лицо;70
Микротоковая терапия;Услуги салона красоты\face.png;2700;2410;0,05;Процедура;71
Стрижка челки;Услуги салона красоты\стрижка.png;2100;1930;0,1;Волосы;72
Лазерный пилинг;Услуги салона красоты\piling.jpg;1200;1650;0,25;Процедура;73
Массаж лица;Услуги салона красоты\массаж.jpg;3600;2370;0;Лицо;74
Снятие лака;Услуги салона красоты\ногти.png;2100;1240;0;Руки;75
Классический педикюр;Услуги салона красоты\Экспресс-педикюр.jpg;2100;2040;0,25;Процедура;76
Классический массаж;Услуги салона красоты\массаж.jpg;2700;1120;0,15;Тело;77
Окрашивание бровей;Услуги салона красоты\Окрашивание бровей.jpg;3600;1120;0,1;Лицо;78
Наращивание ногтей гелем;Услуги салона красоты\ногти.png;2400;1540;0,1;Руки;79
Ботокс;Услуги салона красоты\96.png;3000;1820;0,15;Процедура;80
Инъекционные методики;Услуги салона красоты\96.png;2400;1660;0;Процедура;81
Покраска ресниц;Услуги салона красоты\Ресницы.png;1800;2400;0;Лицо;82
Свадебная прическа;Услуги салона красоты\стрижка.png;2700;2070;0;Волосы;83
Моделирование ресниц;Услуги салона красоты\Моделирование ресниц.jpg;2700;2140;0;Лицо;84
Миостимуляция;Услуги салона красоты\face.png;3600;2380;0;Процедура;85
Шугаринг;Услуги салона красоты\Шугаринг.jpg;1800;1400;0;Процедура;86
Укрепление ногтей гелем;Услуги салона красоты\Укрепление ногтей гелем.jpg;2700;1260;0;Руки;87
Солярий;Услуги салона красоты\soliarij.jpg;3000;1790;0,1;Тело;88
Моментальный лифтинг;Услуги салона красоты\face.png;3000;2020;0;Лицо;89
Детский маникюр;Услуги салона красоты\ногти.png;2100;1900;0;Руки;90
Ультразвуковой пилинг;Услуги салона красоты\piling.jpg;2700;1440;0,2;Лицо;91
ИК-сауна;Услуги салона красоты\ИК-сауна.jpg;2700;1160;0,2;Процедура;92
Контурная пластика;Услуги салона красоты\Контурная пластика.jpg;2100;1550;0,2;Процедура;93
Декорирование нарощенных ресниц стразами;Услуги салона красоты\Декорирование нарощенных ресниц стразами.jpg;2700;1130;0;Лицо;94
Депиляция воском;Услуги салона красоты\Депиляция воском.jpg;1800;2330;0,15;Тело;95
Полировка ногтей;Услуги салона красоты\Полировка ногтей.jpg;3000;2310;0,15;Руки;96
Фракционный лазер Palomar Emerge;Услуги салона красоты\face.png;1500;1720;0,25;Процедура;97
Увлажнение с коллагеном;Услуги салона красоты\96.png;3300;2490;0;Процедура;98
Массаж оздоровительный;Услуги салона красоты\массаж.jpg;1200;1440;0;Процедура;99
Общий массаж;Услуги салона красоты\массаж.jpg;2700;1970;0,25;Процедура;100
